               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.025167,            0.014686,           0.0013652,             0.82776,             0.78757,             0.80833,             0.53436,            0.029577,            0.013056,           0.0046325,           0.0029215,           0.0029215,           0.0029215
                 145,            0.025269,            0.014658,           0.0013175,             0.82859,             0.78659,             0.80825,             0.53632,            0.029579,            0.013059,           0.0046964,            0.002872,            0.002872,            0.002872
                 146,            0.024941,            0.014861,           0.0014826,             0.82894,             0.78634,             0.80898,             0.53591,            0.029584,            0.013054,           0.0047182,           0.0028225,           0.0028225,           0.0028225
                 147,            0.024961,            0.014683,           0.0016494,             0.83401,             0.78608,             0.80944,             0.53663,            0.029582,            0.013054,           0.0047383,            0.002773,            0.002773,            0.002773
                 148,            0.024963,            0.014729,           0.0014868,             0.83312,             0.78678,             0.81007,             0.53866,            0.029574,            0.013051,           0.0047705,           0.0027235,           0.0027235,           0.0027235
                 149,            0.025005,             0.01446,           0.0013826,             0.83277,             0.78609,             0.80984,             0.53961,            0.029572,            0.013061,           0.0047614,            0.002674,            0.002674,            0.002674
                 150,            0.024629,             0.01456,           0.0013657,             0.83022,              0.7898,             0.81081,             0.53795,            0.029593,             0.01308,            0.004731,           0.0026245,           0.0026245,           0.0026245
                 151,            0.024657,            0.014608,            0.001233,             0.82376,             0.79401,             0.81069,             0.54003,            0.029586,            0.013095,           0.0047257,            0.002575,            0.002575,            0.002575
                 152,             0.02462,            0.014568,           0.0012778,             0.82601,              0.7917,             0.81047,             0.53759,            0.029571,             0.01311,           0.0047026,           0.0025255,           0.0025255,           0.0025255
                 153,            0.024487,            0.014586,           0.0012257,              0.8298,             0.78959,             0.81052,              0.5388,            0.029551,            0.013128,           0.0046813,            0.002476,            0.002476,            0.002476
                 154,            0.024404,            0.014064,           0.0012108,             0.82274,             0.79134,             0.80985,             0.53776,            0.029538,            0.013144,           0.0046678,           0.0024265,           0.0024265,           0.0024265
